Date,Landing_Page,Exit_Page,Bounce_Rate,Average_Session_Duration
2024-01-01,Homepage,Product Page,45.2,180
2024-01-02,Product Page,Homepage,50.1,240
2024-01-03,Blog,Pricing,55.3,150
2024-01-04,Pricing,Blog,40.8,300
2024-01-05,Contact,Contact,48.5,200
2024-01-06,Homepage,Product Page,46.0,190
2024-01-07,Product Page,Homepage,49.5,250
2024-01-08,Blog,Pricing,54.2,140
2024-01-09,Pricing,Blog,39.9,310
2024-01-10,Contact,Contact,47.8,210
2024-01-11,Homepage,Product Page,44.8,185
2024-01-12,Product Page,Homepage,51.2,245
2024-01-13,Blog,Pricing,53.1,160
2024-01-14,Pricing,Blog,41.5,290
2024-01-15,Contact,Contact,49.0,205
2024-01-16,Homepage,Product Page,45.9,175
2024-01-17,Product Page,Homepage,48.7,255
2024-01-18,Blog,Pricing,52.0,155
2024-01-19,Pricing,Blog,40.2,320
2024-01-20,Contact,Contact,48.2,195
2024-01-21,Homepage,Product Page,44.5,180
2024-01-22,Product Page,Homepage,50.6,260
2024-01-23,Blog,Pricing,51.5,165
2024-01-24,Pricing,Blog,39.5,295
2024-01-25,Contact,Contact,47.5,185
2024-01-26,Homepage,Product Page,46.2,170
2024-01-27,Product Page,Homepage,49.3,270
2024-01-28,Blog,Pricing,50.8,170
2024-01-29,Pricing,Blog,38.9,280
2024-01-30,Contact,Contact,46.8,190
